"","land","plot","year","species","abundance","height","id"
"1","Narnia",1,1999,"DEGVAG",2,36,"1999HE111"
"2","Narnia",1,1999,"YALRET",2,3,"1999HE112"
"3","Narnia",1,1999,"YALRET",2,1.5,"1999HE113"
"4","Narnia",1,1999,"XXXothermoss",2,0,"1999HE114"
"5","Narnia",1,1999,"DEGVAG",2,6,"1999HE115"
"6","Narnia",1,1999,"DEGVAG",3,4.5,"1999HE116"
"7","Narnia",1,1999,"YALPUL",2,6.5,"1999HE117"
"8","Narnia",1,1999,"DEGVAG",2,16.5,"1999HE118"
"9","Narnia",1,1999,"DEGVAG",3,5.5,"1999HE119"
"10","Narnia",1,1999,"DEGVAG",3,4,"1999HE1110"
"11","Narnia",1,1999,"DEGVAG",2,9.5,"1999HE121"
"12","Narnia",1,1999,"CETCUC",2,0,"1999HE122"
"13","Narnia",1,1999,"YALRET",2,5.5,"1999HE123"
"14","Narnia",1,1999,"THASUB",2,0,"1999HE124"
"15","Narnia",1,1999,"SENATR",2,5,"1999HE125"
"16","Narnia",1,1999,"THASUB",2,3,"1999HE126"
"17","Narnia",1,1999,"YALPUL",2,0,"1999HE127"
"18","Narnia",1,1999,"DEGVAG",2,15,"1999HE128"
"19","Narnia",1,1999,"DEGVAG",2,10.5,"1999HE129"
"20","Narnia",1,1999,"DEGVAG",2,3.5,"1999HE1210"
"21","Narnia",1,1999,"DEGVAG",7,15,"1999HE131"
"22","Narnia",1,1999,"DEGVAG",6,11,"1999HE132"
"23","Narnia",1,1999,"XXXlitter",2,0,"1999HE133"
"24","Narnia",1,1999,"DEGVAG",2,3,"1999HE134"
"25","Narnia",1,1999,"XXXotherlichen",2,1.5,"1999HE135"
"26","Narnia",1,1999,"DEGVAG",2,0,"1999HE136"
"27","Narnia",1,1999,"DEGVAG",2,8,"1999HE137"
"28","Narnia",1,1999,"DEGVAG",5,4,"1999HE138"
"29","Narnia",1,1999,"DEGVAG",3,6.5,"1999HE139"
"30","Narnia",1,1999,"DEGVAG",5,19,"1999HE1310"
"31","Narnia",1,1999,"DEGVAG",5,5.5,"1999HE142"
"32","Narnia",1,1999,"DEGVAG",2,6.5,"1999HE143"
"33","Narnia",1,1999,"DEGVAG",2,1,"1999HE144"
"34","Narnia",1,1999,"XXXbareground",2,0,"1999HE145"
"35","Narnia",1,1999,"XXXotherlichen",2,0,"1999HE146"
"36","Narnia",1,1999,"DEGVAG",2,8,"1999HE147"
"37","Narnia",1,1999,"DEGVAG",2,4,"1999HE148"
"38","Narnia",1,1999,"DEGVAG",2,3,"1999HE149"
"39","Narnia",1,1999,"XXXothermoss",2,0,"1999HE1410"
"40","Narnia",1,1999,"DEGVAG",3,6,"1999HE151"
"41","Narnia",1,1999,"DEGVAG",2,5.5,"1999HE152"
"42","Narnia",1,1999,"DEGVAG",3,14.5,"1999HE153"
"43","Narnia",1,1999,"XXXlitter",2,0,"1999HE154"
"44","Narnia",1,1999,"XXXothermoss",2,0,"1999HE155"
"45","Narnia",1,1999,"DEGVAG",5,13,"1999HE157"
"46","Narnia",1,1999,"DEGVAG",5,9.5,"1999HE159"
"47","Narnia",1,1999,"DEGVAG",2,3,"1999HE1510"
"48","Narnia",1,1999,"DEGVAG",3,6.5,"1999HE161"
"49","Narnia",1,1999,"DEGVAG",2,4,"1999HE163"
"50","Narnia",1,1999,"DEGVAG",2,8,"1999HE164"
"51","Narnia",1,1999,"XXXothergram",2,3,"1999HE165"
"52","Narnia",1,1999,"XXXbareground",2,0,"1999HE166"
"53","Narnia",1,1999,"DEGVAG",2,5,"1999HE167"
"54","Narnia",1,1999,"DEGVAG",2,4,"1999HE168"
"55","Narnia",1,1999,"DEGVAG",3,13.5,"1999HE169"
"56","Narnia",1,1999,"DEGVAG",2,0,"1999HE1610"
"57","Narnia",1,1999,"DEGVAG",2,0,"1999HE171"
"58","Narnia",1,1999,"DEGVAG",2,11.5,"1999HE172"
"59","Narnia",1,1999,"DEGVAG",2,3,"1999HE173"
"60","Narnia",1,1999,"DEGVAG",6,11,"1999HE174"
"61","Narnia",1,1999,"DEGVAG",2,4,"1999HE175"
"62","Narnia",1,1999,"YALPHL",2,1,"1999HE176"
"63","Narnia",1,1999,"XXXlitter",2,0,"1999HE177"
"64","Narnia",1,1999,"YALPHL",2,0,"1999HE178"
"65","Narnia",1,1999,"DEGVAG",2,0,"1999HE179"
"66","Narnia",1,1999,"DEGVAG",2,5,"1999HE1710"
"67","Narnia",1,1999,"DEGVAG",2,8,"1999HE181"
"68","Narnia",1,1999,"DEGVAG",3,11,"1999HE182"
"69","Narnia",1,1999,"DEGVAG",5,5.5,"1999HE183"
"70","Narnia",1,1999,"DEGVAG",5,5.5,"1999HE184"
"71","Narnia",1,1999,"DEGVAG",3,8.5,"1999HE185"
"72","Narnia",1,1999,"DEGVAG",2,6,"1999HE186"
"73","Narnia",1,1999,"XXXbareground",2,0,"1999HE187"
"74","Narnia",1,1999,"XXXbareground",2,0,"1999HE188"
"75","Narnia",1,1999,"XXXotherlichen",2,0,"1999HE189"
"76","Narnia",1,1999,"DEGVAG",2,0,"1999HE1810"
"77","Narnia",1,1999,"DEGVAG",2,8.5,"1999HE191"
"78","Narnia",1,1999,"DEGVAG",3,16,"1999HE192"
"79","Narnia",1,1999,"DEGVAG",2,4.5,"1999HE193"
"80","Narnia",1,1999,"DEGVAG",2,8,"1999HE194"
"81","Narnia",1,1999,"DEGVAG",3,9.5,"1999HE195"
"82","Narnia",1,1999,"XXXothermoss",2,0,"1999HE196"
"83","Narnia",1,1999,"FESBAF",2,8.5,"1999HE197"
